"005 ",1981,"SEGA ENTERPRISES LTD.
","ARCADE
"
"007: Agent Under Fire ",2001,"ELECTRONIC ARTS INC.
ELECTRONIC ARTS LTD.
","GAMECUBE
PLAYSTATION 2
XBOX
"
"007: Blood Stone ",2010,"ACTIVISION PUBLISHING INC.
AK TRONIC SOFTWARE & SERVICES GMBH
","PLAYSTATION 3
WINDOWS
XBOX 360
"
"007 Car Chase ",1985,"COPLIN SOFTWARE
","COMMODORE 64
"
"007: Everything or Nothing ",2003,"ELECTRONIC ARTS INC.
","GAME BOY ADVANCE
"
"007: Everything or Nothing ",2004,"ELECTRONIC ARTS INC.
","GAMECUBE
PLAYSTATION 2
XBOX
"
"007 Ice Racer ",2002,"IN-FUSIO
","EXEN
"
"007 Legends ",2012,"ACTIVISION PUBLISHING INC.
","PLAYSTATION 3
WII U
WINDOWS
XBOX 360
"
"007: Licence to Kill ",1989,"DOMARK LTD.
","AMIGA
AMSTRAD CPC
ATARI ST
BBC MICRO
COMMODORE 64
DOS
MSX
ZX SPECTRUM
"
"007: Nightfire ",2002,"ELECTRONIC ARTS INC.
","GAMECUBE
PLAYSTATION 2
XBOX
"
"007: Nightfire ",2003,"ELECTRONIC ARTS INC.
","GAME BOY ADVANCE
"
"007: Nightfire ",2002,"ASPYR MEDIA INC.
ELECTRONIC ARTS INC.
","MACINTOSH
WINDOWS
"
"007: Quantum of Solace ",2008,"ACTIVISION DEUTSCHLAND GMBH
ACTIVISION PUBLISHING INC.
AK TRONIC SOFTWARE & SERVICES GMBH
NOVIY DISK
SQUARE ENIX CO. LTD.
","PLAYSTATION 2
PLAYSTATION 3
WII
WINDOWS
XBOX 360
"
"007: Quantum of Solace Collector's Edition ",2008,"ACTIVISION PUBLISHING INC.
","PLAYSTATION 3
XBOX 360
"
"007: Racing ",2000,"ELECTRONIC ARTS INC.
","PLAYSTATION
"
"007: The World is Not Enough ",2000,"ELECTRONIC ARTS INC.
ELECTRONIC ARTS LTD.
","PLAYSTATION
"
"007: The World is Not Enough ",2001,"ELECTRONIC ARTS INC.
","GAME BOY COLOR
"
"007: The World is Not Enough ",2000,"ELECTRONIC ARTS INC.
","NINTENDO 64
"
"007: Tomorrow Never Dies ",1999,"ELECTRONIC ARTS INC.
ELECTRONIC ARTS SQUARE
K.K.
MGM INTERACTIVE
","PLAYSTATION
"
"007: Tomorrow Never Dies / 007: The World is Not Enough ",2002,"ELECTRONIC ARTS LTD.
","PLAYSTATION
"
"0 day Attack on Earth ",2009,"SQUARE ENIX INC.
","XBOX 360
"
"0D Beat Drop ",2009,"ARC SYSTEM WORKS CO. LTD.
","XBOX 360
"
"10000000 ",2012,"EIGHTYEIGHTGAMES LTD.
","ANDROID
IPAD
IPHONE
LINUX
MACINTOSH
WINDOWS
"
"The $1,000,000 Pyramid ",2011,"UBISOFT INC.
","IPAD
IPHONE
WII
"
"The $100,000 Pyramid ",2001,"SIERRA ON-LINE INC.
","WINDOWS
"
"The $100,000 Pyramid ",1987,"BOX OFFICE INC.
","APPLE II
COMMODORE 64
DOS
"
"10.000 Bullets ",2005,"TAITO CORPORATION
","PLAYSTATION 2
"
"10,000 Games ",2010,"AVANQUEST SOFTWARE PUBLISHING LTD.
","WINDOWS
"
"10,000 Games ",2005,"SELECTSOFT PUBLISHING
VIVA MEDIA
LLC
","WINDOWS
"
"1000 Amps ",2012,"UNKNOWN PUBLISHER{S}
","MACINTOSH
WINDOWS
"
"1000 Best Games for Windows ",1999,"COSMI EUROPE LTD.
","WINDOWS 3.X
"
"1000 Best Solitaire Games ",2003,"COSMI EUROPE LTD.
","WINDOWS
"
"1000cc Turbo ",1990,"IMPRESSIONS
","AMIGA
"
"1000 Games ",2004,"AVANQUEST SOFTWARE PUBLISHING LTD.
","WINDOWS
"
"1000 Games: Volume 3 ",2008,"AVANQUEST SOFTWARE PUBLISHING LTD.
","WINDOWS
"
"1000 Heroz ",2011,"REDLYNX LTD
","IPAD
IPHONE
"
"1000 Miglia ",1991,"SIMULMONDO
","AMIGA
COMMODORE 64
DOS
"
"1000-nen Okoku ",1986,"LOG
","PC-88
"
"1000 Words ",2004,"GAMELOFT S.A.
","BREW
J2ME
"
